iter	Passed	Remaining
457	817	966
458	818	964
459	819	961
460	820	959
461	821	956
462	823	955
463	824	952
464	826	950
465	827	948
466	828	945
467	830	943
468	831	941
469	832	938
470	833	936
471	835	934
472	836	931
473	837	929
474	838	927
475	840	924
476	841	922
477	842	920
478	844	918
479	845	915
480	846	913
481	848	912
482	850	909
483	851	907
484	853	906
485	854	903
486	855	901
487	856	899
488	858	896
489	859	894
490	861	892
491	862	890
492	863	888
493	864	885
494	866	883
495	867	881
496	868	879
497	870	876
498	871	874
499	872	872
500	874	870
501	875	868
502	877	867
503	879	865
504	880	863
505	881	860
506	883	858
507	884	856
508	885	854
509	886	851
510	887	849
511	888	847
512	890	845
513	891	843
514	893	841
515	894	839
516	896	837
517	897	835
518	899	833
519	900	831
520	902	829
521	903	827
522	905	825
523	906	823
524	907	821
525	909	819
526	910	817
527	911	815
528	913	813
529	914	811
530	916	809
531	917	807
532	918	804
533	919	802
534	921	800
535	922	798
536	924	796
537	925	794
538	926	792
539	927	790
540	928	788
541	930	785
542	931	783
543	932	781
544	933	779
545	935	777
546	936	775
547	937	773
548	938	771
549	940	769
550	941	767
551	943	765
552	944	763
553	945	761
554	947	759
555	948	757
556	949	755
557	950	753
558	952	751
559	953	749
560	955	747
561	956	745
562	957	743
563	959	741
564	960	739
565	961	737
566	962	735
567	963	732
568	965	730
569	966	729
570	968	727
571	969	725
572	971	723
573	972	721
574	973	719
575	975	717
576	976	715
577	977	713
578	979	711
579	980	709
580	981	707
581	982	705
582	983	703
583	985	701
584	986	699
585	987	697
586	988	695
587	989	693
588	991	691
589	992	689
590	994	687
591	995	686
592	997	684
593	998	682
594	999	680
595	1000	678
596	1002	676
597	1003	674
598	1005	672
599	1006	670
600	1007	668
601	1008	666
602	1010	664
603	1011	663
604	1012	660
605	1013	658
606	1014	657
607	1016	655
608	1017	653
609	1018	651
610	1020	649
611	1021	647
612	1022	645
613	1023	643
614	1025	641
615	1026	639
616	1027	637
617	1028	635
618	1030	634
619	1031	632
620	1032	630
621	1034	628
622	1035	626
623	1037	624
624	1038	622
625	1039	621
626	1040	619
627	1042	617
628	1043	615
629	1044	613
630	1046	611
631	1047	610
632	1049	608
633	1050	606
634	1051	604
635	1053	602
636	1054	600
637	1055	599
638	1057	597
639	1058	595
640	1059	593
641	1061	591
642	1062	589
643	1063	588
644	1065	586
645	1066	584
646	1068	582
647	1069	581
648	1071	579
649	1072	577
650	1073	575
651	1075	573
652	1076	572
653	1077	570
654	1079	568
655	1080	566
656	1081	564
657	1082	562
658	1083	560
659	1085	559
660	1086	557
661	1087	555
662	1089	553
663	1090	551
664	1092	550
665	1093	548
666	1094	546
667	1096	544
668	1097	542
669	1098	541
670	1099	539
671	1101	537
672	1102	535
673	1104	534
674	1105	532
675	1106	530
676	1107	528
677	1109	526
678	1110	525
679	1112	523
680	1113	521
681	1114	519
682	1116	518
683	1117	516
684	1119	514
685	1120	512
686	1121	511
687	1123	509
688	1124	507
689	1125	505
690	1126	503
691	1128	502
692	1129	500
693	1130	498
694	1132	496
695	1133	495
696	1135	493
697	1136	491
698	1138	490
699	1140	488
700	1142	487
701	1143	485
702	1144	483
703	1146	481
704	1147	480
705	1148	478
706	1150	476
707	1151	474
708	1153	473
709	1154	471
710	1155	469
711	1157	468
712	1159	466
713	1160	464
714	1161	463
715	1163	461
716	1164	459
717	1165	457
718	1167	456
719	1168	454
720	1169	452
721	1171	451
722	1172	449
723	1174	447
724	1175	445
725	1176	444
726	1178	442
727	1179	440
728	1180	438
729	1182	437
730	1183	435
731	1184	433
732	1186	432
733	1187	430
734	1188	428
735	1190	427
736	1191	425
737	1192	423
738	1194	421
739	1195	420
740	1196	418
741	1198	416
742	1199	414
743	1200	413
744	1202	411
745	1203	409
746	1205	408
747	1206	406
748	1208	404
749	1209	403
750	1210	401
751	1211	399
752	1213	397
753	1214	396
754	1215	394
755	1216	392
756	1217	390
757	1219	389
758	1220	387
759	1221	385
760	1222	384
761	1223	382
762	1225	380
763	1226	378
764	1228	377
765	1229	375
766	1230	373
767	1231	371
768	1232	370
769	1233	368
770	1235	366
771	1236	365
772	1238	363
773	1239	361
774	1241	360
775	1242	358
776	1243	356
777	1244	355
778	1246	353
779	1247	351
780	1248	350
781	1249	348
782	1250	346
783	1252	344
784	1253	343
785	1254	341
786	1256	339
787	1257	338
788	1258	336
789	1260	335
790	1261	333
791	1262	331
792	1264	329
793	1265	328
794	1266	326
795	1267	324
796	1268	323
797	1270	321
798	1271	319
799	1272	318
800	1273	316
801	1274	314
802	1275	313
803	1277	311
804	1279	309
805	1280	308
806	1281	306
807	1283	305
808	1285	303
809	1286	301
810	1287	300
811	1289	298
812	1290	296
813	1292	295
814	1293	293
815	1294	291
816	1296	290
817	1297	288
818	1298	287
819	1300	285
820	1301	283
821	1302	282
822	1304	280
823	1305	278
824	1306	277
825	1308	275
826	1309	274
827	1311	272
828	1312	270
829	1313	269
830	1315	267
831	1316	265
832	1317	264
833	1318	262
834	1320	260
835	1321	259
836	1322	257
837	1323	255
838	1325	254
839	1326	252
840	1327	251
841	1329	249
842	1330	247
843	1332	246
844	1333	244
845	1335	243
846	1336	241
847	1338	239
848	1340	238
849	1341	236
850	1342	235
851	1344	233
852	1345	231
853	1347	230
854	1349	228
855	1350	227
856	1352	225
857	1353	223
858	1354	222
859	1355	220
860	1356	218
861	1357	217
862	1358	215
863	1360	214
864	1361	212
865	1362	210
866	1363	209
867	1364	207
868	1365	205
869	1367	204
870	1368	202
871	1369	201
872	1370	199
873	1372	197
874	1373	196
875	1374	194
876	1376	193
877	1377	191
878	1379	189
879	1380	188
880	1382	186
881	1383	185
882	1384	183
883	1385	181
884	1386	180
885	1387	178
886	1388	176
887	1390	175
888	1391	173
889	1392	172
890	1394	170
891	1395	168
892	1396	167
893	1398	165
894	1400	164
895	1401	162
896	1403	161
897	1404	159
898	1405	157
899	1407	156
900	1409	154
901	1410	153
902	1412	151
903	1414	150
904	1415	148
905	1417	147
906	1418	145
907	1420	143
908	1422	142
909	1423	140
910	1425	139
911	1426	137
912	1428	136
913	1429	134
914	1431	132
915	1432	131
916	1434	129
917	1435	128
918	1437	126
919	1438	125
920	1439	123
921	1441	121
922	1442	120
923	1444	118
924	1445	117
925	1447	115
926	1449	114
927	1450	112
928	1452	110
929	1453	109
930	1454	107
931	1456	106
932	1458	104
933	1459	103
934	1460	101
935	1462	99
936	1463	98
937	1465	96
938	1467	95
939	1468	93
940	1469	92
941	1471	90
942	1472	89
943	1474	87
944	1475	85
945	1477	84
946	1478	82
947	1480	81
948	1481	79
949	1483	78
950	1485	76
951	1486	74
952	1487	73
953	1489	71
954	1491	70
955	1492	68
956	1494	67
957	1496	65
958	1497	64
959	1499	62
960	1500	60
961	1502	59
962	1503	57
963	1504	56
964	1506	54
965	1508	53
966	1509	51
967	1510	49
968	1512	48
969	1513	46
970	1515	45
971	1517	43
972	1518	42
973	1520	40
974	1521	39
975	1523	37
976	1524	35
977	1526	34
978	1527	32
979	1528	31
980	1530	29
981	1531	28
982	1533	26
983	1534	24
984	1536	23
985	1537	21
986	1539	20
987	1540	18
988	1541	17
989	1543	15
990	1544	14
991	1546	12
992	1548	10
993	1549	9
994	1551	7
995	1552	6
996	1554	4
997	1555	3
998	1556	1
999	1558	0
